"ID";"Active (0/1)";"Name *";"Categories (x,y,z...)";"Price tax excluded or Price tax included";"Tax rules ID";"Wholesale price";"On sale (0/1)";"Discount amount";"Discount percent";"Discount from (yyyy-mm-dd)";"Discount to (yyyy-mm-dd)";"Reference #";"Supplier reference #";"Supplier";"Manufacturer";"EAN13";"UPC";"Ecotax";"Width";"Height";"Depth";"Weight";"Quantity";"Minimal quantity";"Visibility";"Additional shipping cost";"Unity";"Unit price ratio";"Short description";"Description";"Tags (x,y,z...)";"Meta title";"Meta keywords";"Meta description";"URL rewritten";"Text when in stock";"Text when backorder allowed";"Available for order (0 = No, 1 = Yes)";"Product available date";"Product creation date";"Show price (0 = No, 1 = Yes)";"Image URLs (x,y,z...)";"Delete existing images (0 = No, 1 = Yes)";"Feature(Name:Value:Position)";"Available online only (0 = No, 1 = Yes)";"Condition";"Customizable (0 = No, 1 = Yes)";"Uploadable files (0 = No, 1 = Yes)";"Text fields (0 = No, 1 = Yes)";"Out of stock";"ID / Name of shop";"Advanced stock management";"Depends On Stock";"Warehouse"
"100";"1";"チタノス チヌスペシャル  500";"Катушки";"";"";"";"1";"";"";"";"";"01165 7";"";"";"Shimano";"";"";"";"";"";"";"";"100";"1";"";"";"";"";"";"実績のチヌスペシャルに「ダンゴカミ防止スプール」搭載。";"";"";"мультипликаторная катушка";"мультипликаторная катушка Шимано";"";"";"";"";"";"";"";"../img/16/192.jpg";"";"Size:1000:1";"";"new";"";"";"";"";"1";"";"";""
"101";"1";"チタノス チヌスペシャル  1000";"Катушки";"";"";"";"1";"";"";"";"";"01166 4";"";"";"Shimano";"";"";"";"";"";"";"";"100";"1";"";"";"";"";"";"実績のチヌスペシャルに「ダンゴカミ防止スプール」搭載。";"";"";"мультипликаторная катушка";"мультипликаторная катушка Шимано";"";"";"";"";"";"";"";"../img/16/193.jpg";"";"Size:2000:1";"";"new";"";"";"";"";"1";"";"";""
"102";"1";"ワカサギスペシャル［WAKASAGI Special］  ワカサギスペシャルGT";"Катушки";"";"";"";"1";"";"";"";"";"01926 4";"";"";"Shimano";"";"";"";"";"";"";"";"100";"1";"";"";"";"";"";"タナ取りを楽にする｢タナ停止クリップ｣、繊細かつ軽量な仕掛けをスムーズに、スピーディーに投入するための｢細密ピッチコントロール｣、そして錆びに強いボールベアリング｢A-RB｣（ワカサギスペシャルGTに採用）など、トラブルレスで手返しよく釣っていくための機能を満載。冬の湖上でホットに遊べる、ワカサギ釣り専用のスペシャルモデルです。";"";"";"мультипликаторная катушка";"мультипликаторная катушка Шимано";"";"";"";"";"";"";"";"../img/16/195.jpg";"";"Size:3000:1";"";"new";"";"";"";"";"1";"";"";""
