"№";"Фото";"Название";"Артикул";"Категория";"Нач. цена";"Цена";"Количество";"Статус";
"12";"http://pex8.com/img/p/4/0/40.jpg";"Shimano 11 Twin Power 2500S";"";"11 Twin Power";"32300.000000";"32300";"1";"1";
"1";"http://pex8.com/img/p/3/4/34.jpg";"Avani Light Game Super Premium PE";"";"Morris / Varivas";"3000.000000";"4200";"30";"1";
"5";"http://pex8.com/img/p/2/8/28.jpg";"Резин Шэллер (PE Resin Sheller)";"demo_5";"Yamatoyo";"2700.000000";"2565";"0";"1";
"10";"http://pex8.com/img/p/3/6/36.jpg";"trst";"";"Главная";"0.000000";"0";"0";"1";
"2";"http://pex8.com/img/p/3/7/37.jpg";"Авани Сибасс Макс Пауэр (Avani Sea Bass Max Power PE)";"demo_2";"Morris / Varivas";"5000.000000";"5000";"0";"1";
"6";"http://pex8.com/img/p/2/9/29.jpg";"PE-EGI ULT";"demo_6";"Sunline";"3200.000000";"3200";"0";"1";
"11";"http://pex8.com/img/p/3/8/38.jpg";"Shimano 11 Twin Power C2000S";"";"11 Twin Power";"31400.000000";"31400";"1";"1";
"3";"http://pex8.com/img/p/2/6/26.jpg";"Авани Сибасс Макс Пауэр (Avani Sea Bass Max Power PE TRACER)";"demo_3";"Morris / Varivas";"8000.000000";"8000";"0";"1";
"9";"http://pex8.com/img/p/3/1/31.jpg";"Famell SW Super PE";"Famell";"Yamatoyo";"1800.000000";"1800";"0";"1";
